id,name
131,italy
697,loss of loved one
699,love at first sight
818,based on novel or book
1295,europe
1715,symbolism
4677,patriarch
10291,organized crime
10391,mafia
10909,lawyer
11001,religion
15095,revenge motive
33421,crime family
155538,sicilian mafia
156043,religious hypocrisy
163656,gun violence
165725,rise to power
180173,dead horse
181858,gang violence
207883,1940s
208611,1950s
257630,mafia war
378,prison
417,corruption
796,police brutality
818,based on novel or book
2885,prison cell
4779,delinquent
8622,parole board
9777,prison escape
12662,wrongful imprisonment
180172,framed for murder
207883,1940s
236369,voiceover
131,italy
700,italian american
701,cuba
1715,symbolism
3149,gangster
4232,melancholy
6049,praise
9748,revenge
10291,organized crime
10391,mafia
10909,lawyer
14632,suburb
156024,corrupt politician
818,based on novel or book
1382,factory
1631,concentration camp
1701,hero
1739,holocaust (shoah)
1799,ss (nazi schutzstaffel)
1956,world war ii
2394,ghetto
2433,jew persecution
2446,"kraków, poland"
2450,auschwitz-birkenau concentration camp
2456,industrialist
2652,nazi
3599,defense industry
5565,biography
9672,based on true story
12995,historical fiction
12999,black and white
13008,train
21747,poland
234812,weapons manufacturer
2783,family's daily life
3371,family history
7277,love-hate relationship
12279,family drama
14720,love affair
934,judge
1417,jurors
2118,sultriness
2122,death penalty
2123,father murder
2124,puerto rico
2142,anonymity
3012,court case
3772,heat
6069,class
6139,innocence
6148,court
10181,based on play or musical
12999,black and white
33519,courtroom
214780,courtroom drama
234041,one location
616,witch
970,parent child relationship
2343,magic
3762,darkness
4652,bath house
13153,spirit
33465,parallel world
155582,amusement park
196509,youkai
207695,japanese mythology
210024,anime
5732,birthday party
5752,private lessons
10123,dark comedy
10453,con artist
11935,working class
12565,psychological thriller
14514,class differences
17997,housekeeper
18015,tutor
18035,family
33421,crime family
198673,unemployed
237462,wealthy family
261681,south korea
290327,"seoul, south korea"
4379,time travel
4776,race against time
4803,comet
5096,natural disaster
6152,supernatural
6155,afterlife
9840,romance
10873,school
33721,body-swap
157171,nonlinear timeline
165086,star crossed lovers
210024,anime
278832,dreams
853,crime fighter
1308,secret identity
2095,anti hero
3151,scarecrow
4426,sadism
4630,chaos
7002,vigilante
9537,joker
9715,superhero
9717,based on comic
10044,tragic hero
10291,organized crime
14625,anti villain
18023,criminal mastermind
33518,district attorney
33637,super power
163074,super villain
207268,neo-noir
531,southern usa
791,mentally disabled
818,based on novel or book
2501,death row
2881,jail guard
5571,great depression
6152,supernatural
6259,psychopath
9774,prison guard
9890,jail
11263,electric chair
13006,torture
156597,magic realism
167696,healing
214548,1930s
239910,abuse of power
2231,drug dealer
2792,boxer
4076,massage
8627,stolen money
9730,crime boss
10104,dance competition
11435,briefcase
11436,redemption
11442,heirloom
12670,"los angeles, california"
14604,theft
34117,cult film
157171,nonlinear timeline
171366,multiple storylines
207268,neo-noir
422,vietnam veteran
447,post-traumatic stress disorder (ptsd)
458,hippie
478,china
521,"washington dc, usa"
641,single parent
791,mentally disabled
818,based on novel or book
828,waitress
840,usa president
895,optimism
970,parent child relationship
1228,1970s
1646,autism
1803,drug addiction
2075,alabama
2957,vietnam war
4243,black panther party
5709,bus stop
6054,friendship
10235,family relationships
14768,single mother
162365,military
181557,anti war protest
208992,1960s
231401,college american football
240237,mother son relationship
603,elves
604,dwarf
606,orcs
818,based on novel or book
3301,suspicion
3347,volcano
3930,bravery
6782,addiction
9812,honor
9920,royalty
11173,troll
14707,brutality
162846,ghost
177912,wizard
207372,quest
209220,live action and animation
234213,sword and sorcery
801,bounty hunter
972,refugee
1321,gold
2095,anti hero
2125,gallows
2708,hitman
6092,army
9503,outlaw
10950,shootout
11426,moral ambiguity
156212,spaghetti western
320802,dollars trilogy
242,new york city
378,prison
818,based on novel or book
1196,florida
1228,1970s
1583,mass murder
1857,irish-american
2149,drug trafficking
3149,gangster
5565,biography
9672,based on true story
9826,murder
10291,organized crime
10292,gore
10391,mafia
41523,"brooklyn, new york city"
214983,crime epic
214985,"tampa, florida"
629,"sicily, italy"
886,movie business
970,parent child relationship
5091,kiss
9856,flashback
10683,coming of age
156597,magic realism
173719,haunted by the past
179428,censorship
246529,nuovo cinema paradiso
131,italy
483,riddle
697,loss of loved one
817,bookshop
1430,self sacrifice
1583,mass murder
1631,concentration camp
1755,fascism
1956,world war ii
2038,love of one's life
2428,deportation
2433,jew persecution
2652,nazi
3061,national socialism
3196,charade
3197,riding a bicycle
3206,story teller
3207,concentration camp prisoner
3737,dying and death
233,japan
779,martial arts
1462,samurai
1938,sword
4402,peasant
4631,looting
5329,rice
5330,fencing
5331,village
6917,epic
11426,moral ambiguity
14643,battle
33344,bandit
33558,practice
186753,jidaigeki
208244,16th century
380,sibling relationship
1899,hunger
1956,world war ii
4917,shelter
11159,wartime
165431,anti war
210024,anime
236343,orphan siblings
241982,children in wartime
2858,sacrifice
5451,comic book
9663,sequel
9715,superhero
9717,based on comic
9820,alternate dimension
18095,alternate version
33637,super power
41523,"brooklyn, new york city"
155030,superhero team
158124,spider bite
163074,super villain
175102,cliffhanger
213104,teen superhero
245157,alternate universe
272493,female superhero
299365,interdimensional travel
612,hotel
1443,clerk
1859,arizona
1879,shower
2669,motel
9719,taxidermy
10594,money
11677,secretary
12999,black and white
13092,corpse
13112,murderer
14604,theft
41329,mental illness
155790,private detective
156091,missing person
233450,proto-slasher
818,based on novel or book
825,support group
851,dual identity
1541,nihilism
1721,fight
3927,rage and hate
4142,insomnia
4565,dystopia
9181,alter ego
11687,breaking the fourth wall
34117,cult film
156761,split personality
179173,quitting a job
212803,dissociative identity disorder
260426,self destructiveness
977,cat
1299,monster
1370,shapeshifting
2343,magic
10085,betrayal
10459,dilemma
18165,animal
33480,environmental
189092,journey
210024,anime
243143,wandering
542,street gang
1003,photographer
1809,rio de janeiro
2394,ghetto
2987,gang war
3149,gangster
10683,coming of age
187056,woman director
242,new york city
314,life and death
417,corruption
542,street gang
570,rape
625,sadistic
725,lovesickness
739,sexual abuse
802,regret
818,based on novel or book
947,prohibition era
975,money laundering
1632,opium
3149,gangster
6220,mafia boss
9826,murder
10937,memory
11211,jewish american
13006,torture
158967,brooklyn bridge
160246,childhood friends
207876,1920s
208992,1960s
214548,1930s
818,based on novel or book
428,nurse
791,mentally disabled
818,based on novel or book
1897,"oregon, usa"
2574,lunatic asylum
4924,insane asylum
6054,friendship
11612,hospital
14784,medication
166726,female villain
190939,shock treatment
5955,boys' choir
6270,high school
9914,slice of life
10683,coming of age
13141,based on manga
210024,anime
258533,gay theme
289844,boys' love (bl)
310,artificial intelligence (a.i.)
1432,nasa
1521,time warp
1612,spacecraft
1963,expedition
2964,future
3417,wormhole
3801,space travel
4337,famine
4380,black hole
4565,dystopia
4776,race against time
8056,quantum mechanics
9882,space
10084,rescue
10235,family relationships
14544,robot
14626,astronaut
14760,scientist
33479,single father
154846,farmer
156039,space station
195114,space adventure
208757,time paradox
220800,time-manipulation
240303,father daughter relationship
270088,2060s
272987,cornfield
290900,time manipulation
233,japan
236,suicide
1293,asia
1462,samurai
9748,revenge
9856,flashback
12987,poverty
18100,seppuku
155198,ronin
186753,jidaigeki
207941,17th century
214891,shogunate
312122,bushi
9715,superhero
9717,based on comic
179430,aftercreditsstinger
245157,alternate universe
236,suicide
1252,suicide attempt
1643,deaf
6054,friendship
6270,high school
6733,bullying
10683,coming of age
13141,based on manga
187056,woman director
188953,sign languages
210024,anime
232877,social anxiety
235790,japanese high school
268784,japanese school
603,elves
604,dwarf
606,orcs
697,loss of loved one
818,based on novel or book
1261,river
1262,mountain
1960,mine
2158,maze
2343,magic
2407,fireworks
3098,castle
3347,volcano
5732,birthday party
6464,uncle
6782,addiction
10718,fugitive
14643,battle
34079,death
156783,blizzard
177912,wizard
189092,journey
189093,ring
209220,live action and animation
234213,sword and sorcery
334,flying
616,witch
2217,rain
3098,castle
3151,scarecrow
5133,body exchange
7315,hatter
7397,bakery
10028,steampunk
10541,curse
15001,demon
210024,anime
246466,based on young adult novel
526,rebel
803,android
1423,asteroid
1612,spacecraft
2902,space battle
3373,snowstorm
3388,space colony
4551,swamp
11196,rebellion
161176,space opera
244265,artic
2527,fox
2673,horse
3929,hope
6054,friendship
15101,based on children's book
15120,kindness
18035,family
234662,hand drawn animation
263548,short film
299369,courage
516,child abuse
3929,hope
9672,based on true story
190327,sexual assault
261681,south korea
603,elves
604,dwarf
606,orcs
818,based on novel or book
1653,explosive
1964,cave
3739,funeral
4063,siege
4268,fort
6092,army
6782,addiction
10364,mission
10563,attack
12554,dragon
33788,guide
34079,death
156761,split personality
177912,wizard
189093,ring
209220,live action and animation
234213,sword and sorcery
836,resistance
1739,holocaust (shoah)
1899,hunger
1956,world war ii
1968,prisoner of war
2156,homeland
2394,ghetto
2428,deportation
2433,jew persecution
2434,liberation
2435,warsaw ghetto
2436,polish resistance
2652,nazi
5565,biography
6029,concert
10349,survival
