author,author_details,content,created_at,id,updated_at,url
futuretv,"{'name': '', 'username': 'futuretv', 'avatar_path': None, 'rating': 10.0}","The Godfather Review by Al Carlson

The Godfather is a film considered by most to be one of the greatest ever made. From The American Film Institute to as voted by users on the Internet Movie Database (IMDB) it is consider to be one of the best. As a film that ranks as high as other masterpieces including Citizen Kane, Pulp Fiction and 12 Angry Men, The Godfather is an exceptional piece of cinema excellence that is flawless and is simply the pinnacle crime drama.
The Godfather revolves around the Corleone’s, an Italian family with deep roots in the New York City mafia. The head of the Corleone’s is Don Vito Corleone, a man who takes care of his family and demands respect in return. His son Michael however, who just returned home from World War II, doesn’t want to become involved with the family business. The Sollozzo’s, a family of drug dealers, confront Don and request protection in exchange for profits from the Sollozzo’s drug sales. But Don declines the offer, for he is against selling narcotics. The rejected offer starts what turns into an all out mafia war between the two families with Michael diving deep into the mafia lifestyle.
The characters are portrayed by a legendary all-star cast including Marlon Brando as Don, Al Pacino as his son Michael and James Caan as Don’s oldest son Sonny. The casting for this film has been considered by many to be the best casted film in history for their astonishing performances. All three main actors were nominated for an academy award, but only Marlon Brando won an Oscar for best actor in a leading role. It’s fascinating to watch how these characters change over the course of the movie, with one in particular changing drastically.
Directer Francis Ford Coppola, being raised in an Italian-American family in New York, understood Italian culture exceptionally and made the film very authentically. Everything from the wedding dances to the cuisine to the terms used by the characters in Sicilian come from Coppola’s first-hand knowledge of Italian-American culture. Italian composer Nino Rota did an outstanding job making the soundtrack for the film, despite not getting the Oscar for best music (but he did win an Oscar for his work in the sequel, The Godfather: Part II). Virtually everyone recognizes that iconic trumpet solo once it starts playing. He also wrote the score for another great Italian film 8 1/2. 
This film should be immediately followed up by it’s sequel, The Godfather: Part II, which also won best picture. The series still holds the title of most best picture awards for a film series to this day. They’re both flawless crime dramas and have earned their titles as some of the best pieces of cinema ever. I will guarantee you won’t be able to see this film only once, as it gets better after continual viewings. There is really nothing more to add other than if you haven’t seen this movie yet, it’s about time you did. The Godfather is a movie you can’t refuse.",2014-04-10T20:09:40.500Z,5346fa840e0a265ffa001e20,2021-06-23T15:57:25.895Z,https://www.themoviedb.org/review/5346fa840e0a265ffa001e20
crastana,"{'name': '', 'username': 'crastana', 'avatar_path': None, 'rating': 10.0}","The best movie ever...
A masterpiece by the young and talented Francis Ford Coppola, about a Mob family and their drama, the story telling is perfect, the acting good, sometimes a little over the top in the case of Thalia Shire (the sister of the director)

The 70's were the best years for Hollywood.",2022-07-18T23:18:07.748Z,62d5ea2fe93e95095cbddefe,2022-07-26T14:21:07.910Z,https://www.themoviedb.org/review/62d5ea2fe93e95095cbddefe
drystyx,"{'name': '', 'username': 'drystyx', 'avatar_path': '/hLLsAvAnVT0cFU7JuuaaItTWXv8.jpg', 'rating': 1.0}","While I'm writing this, The Godfather is still beloved by people who love it simply because they are told they have to love it. 
It's written by a mobster with the sole intention of depicting the lead mobsters as demi gods. Every line and every scene in the movie and the book is meant to intimidate people into thinking the ""Mafia"" and really any mob, is a supernatural force.
This is a movie glorifying control freaks, and most critics are control freaks, and most critics are either in the mob or think they can join the mob.
The movie itself is dull and totally uninspiring, not to mention totally uninspired. For fifty years, the sheep have been cowing to the control freaks who tell them to love this movie that degrades them. 
There just isn't anything favorable about this movie. It owes its success to people who have interests in the movie or think they can get brownie points with such people. It's totally Hollywood in its depressing nature, and even in the seventies it was a formula film.",2023-04-02T03:49:51.130Z,6428fb5f60975000eb3e9c39,2023-04-03T16:45:04.834Z,https://www.themoviedb.org/review/6428fb5f60975000eb3e9c39
CinemaSerf,"{'name': 'CinemaSerf', 'username': 'Geronimo1967', 'avatar_path': '/1kks3YnVkpyQxzw36CObFPvhL5f.jpg', 'rating': 7.0}","When you get a story written quite this magnificently it would take an extreme amateur to screw it up - and Francis Ford Coppola is no amateur. Marlon Brando, Al Pacino, James Caan and Robert Duvall represent the epitome of guile, sophistication, loyalty, honour and brutality in this self-adapted Mario Puzo story of the unambiguously ambitious ""Corleone"" family - they start with nothing and so the only way is up; however and whatever they need to do to get there. The characterisations are layered and colourful; Diane Keaton has no idea what she's getting herself into! John Cazale is great as the spineless brother ""Fredo"" too. Once again, Nino Rota pulls out all the stops to give this a score that helps cement this film's place as amongst the best ever made. My only criticism, and it is slight at that, is that the audio mix could have done with a bit of a boost. Much of the dialogue - especially from Brando - verges on the inaudible at times.",2023-05-28T11:02:44.814Z,647334d4be2d490116c935bd,2023-05-28T11:02:44.905Z,https://www.themoviedb.org/review/647334d4be2d490116c935bd
Suresh Chidurala,"{'name': 'Suresh Chidurala', 'username': 'Suresh17511', 'avatar_path': None, 'rating': 9.0}",Great Movie **Ever**,2023-06-11T09:30:35.855Z,6485943be375c000c5282981,2023-06-13T15:48:33.210Z,https://www.themoviedb.org/review/6485943be375c000c5282981
elshaarawy,"{'name': '', 'username': 'elshaarawy', 'avatar_path': None, 'rating': 9.0}",very good movie 9.5/10 محمد الشعراوى,2016-04-29T18:08:41.892Z,5723a329c3a3682e720005db,2021-06-23T15:57:47.190Z,https://www.themoviedb.org/review/5723a329c3a3682e720005db
John Chard,"{'name': '', 'username': 'John Chard', 'avatar_path': '/utEXl2EDiXBK6f41wCLsvprvMg4.jpg', 'rating': 10.0}","Some birds aren't meant to be caged.

The Shawshank Redemption is written and directed by Frank Darabont. It is an adaptation of the Stephen King novella Rita Hayworth and Shawshank Redemption. Starring Tim Robbins and Morgan Freeman, the film portrays the story of Andy Dufresne (Robbins), a banker who is sentenced to two life sentences at Shawshank State Prison for apparently murdering his wife and her lover. Andy finds it tough going but finds solace in the friendship he forms with fellow inmate Ellis ""Red"" Redding (Freeman). While things start to pick up when the warden finds Andy a prison job more befitting his talents as a banker. However, the arrival of another inmate is going to vastly change things for all of them.

There was no fanfare or bunting put out for the release of the film back in 94, with a title that didn't give much inkling to anyone about what it was about, and with Columbia Pictures unsure how to market it, Shawshank Redemption barely registered at the box office. However, come Academy Award time the film received several nominations, and although it won none, it stirred up interest in the film for its home entertainment release. The rest, as they say, is history. For the film finally found an audience that saw the film propelled to almost mythical proportions as an endearing modern day classic. Something that has delighted its fans, whilst simultaneously baffling its detractors. One thing is for sure, though, is that which ever side of the Shawshank fence you sit on, the film continues to gather new fans and simply will never go away or loose that mythical status.

It's possibly the simplicity of it all that sends some haters of the film into cinematic spasms. The implausible plot and an apparent sentimental edge that makes a nonsense of prison life, are but two chief complaints from those that dislike the film with a passion. Yet when characters are this richly drawn, and so movingly performed, it strikes me as churlish to do down a human drama that's dealing in hope, friendship and faith. The sentimental aspect is indeed there, but that acts as a counterpoint to the suffering, degradation and shattering of the soul involving our protagonist. Cosy prison life you say? No chance. The need for human connection is never more needed than during incarceration, surely? And given the quite terrific performances of Robbins (never better) & Freeman (sublimely making it easy), it's the easiest thing in the world to warm to Andy and Red.

Those in support aren't faring too bad either. Bob Gunton is coiled spring smarm as Warden Norton, James Whitmore is heart achingly great as the ""Birdman Of Shawshank,"" Clancy Brown is menacing as antagonist Capt. Byron Hadley, William Sadler amusing as Heywood & Mark Rolston is impressively vile as Bogs Diamond. Then there's Roger Deakins' lush cinematography as the camera gracefully glides in and out of the prison offering almost ethereal hope to our characters (yes, they are ours). The music pings in conjunction with the emotional flow of the movie too. Thomas Newman's score is mostly piano based, dovetailing neatly with Andy's state of mind, while the excellently selected soundtrack ranges from the likes of Hank Williams to the gorgeous Le Nozze di Figaro by Mozart.

If you love Shawshank then it's a love that lasts a lifetime. Every viewing brings the same array of emotions - anger - revilement - happiness - sadness - inspiration and a warmth that can reduce the most hardened into misty eyed wonderment. Above all else, though, Shawshank offers hope - not just for characters in a movie - but for a better life and a better world for all of us. 10/10",2016-07-10T00:16:50.561Z,578193f29251417c28001764,2021-06-23T15:57:48.710Z,https://www.themoviedb.org/review/578193f29251417c28001764
tmdb73913433,"{'name': '', 'username': 'tmdb73913433', 'avatar_path': None, 'rating': 6.0}",Make way for the best film ever made people. **Make way.**,2017-11-11T15:09:34.114Z,5a0712aec3a3687914014a4b,2021-06-23T15:58:02.682Z,https://www.themoviedb.org/review/5a0712aec3a3687914014a4b
thommo_nz,"{'name': '', 'username': 'thommo_nz', 'avatar_path': None, 'rating': 10.0}","There is a reason why this movie is at the top of any popular list your will find.
Very strong performances from lead actors and a story line from the literary brilliance of Stephen King (and no, its not a horror).
Sufficient drama and depth to keep you interested and occupied without stupefying your brain. It is the movie that has something for everyone.",2018-05-01T05:51:13.756Z,5ae800510e0a264fa7000c70,2021-06-23T15:58:08.245Z,https://www.themoviedb.org/review/5ae800510e0a264fa7000c70
Andrew Gentry,"{'name': 'Andrew Gentry', 'username': 'AndrewGentry', 'avatar_path': '/vVGgWZe3bDdy0fsODYDtrL8J51b.jpg', 'rating': None}","It's still puzzling to me why this movie exactly continues to appear in every single best-movies-of-all-time chart. There's a great story, perfect cast, and acting. It really moves me in times when I'm finding myself figuring out things with my annual tax routine reading <a href=""https://www.buzzfeed.com/davidsmithjd/what-is-form-w-2-and-how-does-it-work-3n31d"">this article</a>, and accidentally catching myself wondering what my life should be if circumstances had changed so drastically. This movie worth a rewatch by all means, but yet, there's no unique vibe or something - there are thousands of other ones as good as this one.",2018-10-18T15:08:48.777Z,5bc8a200c3a36829c8019817,2021-06-23T15:58:13.726Z,https://www.themoviedb.org/review/5bc8a200c3a36829c8019817
